PARTICIPANT	TRIAL	R^2	RMSE	MAE
P012	WALK4	0.2578333257615102	9.941445440614716	8.664773046052458
P012	WALK5	-	-	-
P012	WALK6	0.3325900432152624	10.580787718952225	9.080366303119872
P013	FLEX	0.8834801210283776	8.587277148991017	7.3157885605661175
P013	SQUAT	0.9534121080237925	11.347742369289982	9.837612560191427
P013	WALK1	0.36777734240946913	15.748871236730736	13.167377054385295
P013	WALK2	0.2724052261365213	12.638708656232815	10.99033614411621
P013	WALK3	0.46023502387343584	12.644525350496806	9.33459554044168
P013	WALK4	0.6084025117176844	9.759328526278557	8.288603193825981
P013	WALK5	0.6625810547589361	8.267890824700203	6.5977684575593845
P013	WALK6	0.45737806043286133	10.60850230170063	8.672033991480983
P014	FLEX	0.42087417302345376	4.036849268706715	3.45683671543564
P014	SQUAT	0.9518535515965088	9.231016573455866	7.542800818792444
P014	WALK1	0.3270406405486098	8.247944090363376	7.0034659444957095
P014	WALK2	0.31700382484688383	9.84584226904607	8.093961623402882
P014	WALK3	0.3164053969288054	9.480545306089528	7.9375084178687345
P014	WALK4	0.04849080249730808	16.57181824569541	11.879765172084047
P014	WALK5	0.3126490377654304	9.671912602357699	8.076984938742859
P014	WALK6	0.24676745859496074	9.712307101575451	8.087271455295035
P015	FLEX	-	-	-
P015	SQUAT	0.9526033491073406	8.836380110135359	7.652972659164833
P015	WALK1	0.43710936093269837	10.511446688400923	8.739064238785415
P015	WALK2	0.2786250627676502	11.773976652379154	10.06721879920777
P015	WALK3	0.333604545595369	12.26787865185306	10.559749806430926
P015	WALK4	0.33921488791922494	12.337492030736717	10.278871124192472
P015	WALK5	0.28244024525085243	12.781515764031964	10.7779412251775
P015	WALK6	0.2909200372425713	12.987243563458732	11.185079698375038
P016	FLEX	0.9827187104781946	5.992106979035028	5.016458801331116
P016	SQUAT	0.9883762513055363	3.367432810312204	2.883453642490778
P016	WALK1	0.9450342212292014	4.941036220048258	3.615448365756426
P016	WALK2	0.9446781180534436	4.804179859937862	3.8957835763691873
P016	WALK3	0.03679616745032244	20.799408043298076	16.808859821389042
P016	WALK4	0.9280354945109974	5.857562606425453	4.621425473104175
P016	WALK5	0.7931337041956674	13.086625324592458	8.157544695902304
P016	WALK6	0.930617923899873	5.707649295459398	4.787376829447082
